up;down;class
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.9130434782608696;0.08695652173913038;1
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.08695652173913043;0.9130434782608696;0
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.0;1.0;0
1.0;0.0;1
1.0;0.0;1
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.0;1.0;0
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.0;1.0;0
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.0;1.0;0
1.0;0.0;1
0.08695652173913043;0.9130434782608696;0
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.08695652173913043;0.9130434782608696;0
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.043478260869565216;0.9565217391304348;0
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.9130434782608696;0.08695652173913038;1
0.08695652173913043;0.9130434782608696;0
0.9130434782608696;0.08695652173913038;1
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.08695652173913043;0.9130434782608696;0
0.0;1.0;0
0.0;1.0;0
0.08695652173913043;0.9130434782608696;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.043478260869565216;0.9565217391304348;0
0.9565217391304348;0.04347826086956519;1
0.9565217391304348;0.04347826086956519;1
0.0;1.0;0
0.0;1.0;0
0.043478260869565216;0.9565217391304348;0
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9130434782608696;0.08695652173913038;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
1.0;0.0;1
0.9565217391304348;0.04347826086956519;1
0.9130434782608696;0.08695652173913038;1
0.9130434782608696;0.08695652173913038;1
